X,Y,Z,R,G,B
255.26106358345407,148.5005099651903,400.7764900529879,255,0,0
255.3091483073619,148.7799357531638,400.5548890633389,255,0,0
255.3565631727188,149.05939449735453,400.33329020212153,255,0,0
255.4139831679617,148.99142469753886,400.3841793868049,255,0,0
255.47155793884664,148.92344712408584,400.435067926757,255,0,0
255.524860011137,148.9892592922173,400.3810445290514,255,0,0
255.57799905735203,149.0550916252001,400.3270121492693,255,0,0
255.6324978457623,149.07798735675425,400.3066477211017,255,0,0
255.68693606843945,149.10088416736818,400.2862869534028,255,0,0
255.7420217879497,149.1050447443872,400.28061555785246,255,0,0
255.797091712229,149.1092094527143,400.2749421437656,255,0,0
255.8522014014469,149.1119536851793,400.2703823735336,255,0,0
255.90729803608417,149.11470456173032,400.26581782709377,255,0,0
255.9615191345027,149.13773008293072,400.24536476026526,255,0,0
256.0156791537597,149.16075602141632,400.22491469412216,255,0,0
256.0686581777605,149.20870475237345,400.1849370184195,255,0,0
256.1215173496756,149.25666284091483,400.14495775763805,255,0,0
256.1766858551754,149.25323699196758,400.1452417088903,255,0,0
256.2318558265692,149.2498117569572,400.1455263159583,255,0,0
256.2859627522481,149.2678427504733,400.12900137246095,255,0,0
256.34002002835143,149.28587358722146,400.11247938203815,255,0,0
256.3944299928979,149.29617465978723,400.102014478871,255,0,0
256.4488091236863,149.30647993141238,400.0915469578897,255,0,0
256.51037869766816,149.18396453714388,400.1851036307309,255,0,0
256.572232778895,149.06142886502528,400.2786639490205,255,0,0
256.6080852506714,149.40219097438506,400.0094132584029,255,0,0
256.6431244196924,149.74299623868433,399.74016287845205,255,0,0
255.19204541477984,148.87741961046984,400.41325531346126,255,0,0
255.2615364305377,148.3618710997557,400.8144485417169,255,0,0
255.30981844953405,148.63911732035882,400.5949697679679,255,0,0
255.3574368428249,148.91640217255045,400.3754882660992,255,0,0
255.41282623282467,148.9185147626385,400.3714188254297,255,0,0
255.46820383321707,148.9206353084024,400.36734592712696,255,0,0
255.5213919141697,148.98871294241115,400.31165224113454,255,0,0
255.5744127160588,149.05679632761635,400.25596199821234,255,0,0
255.6288299591753,149.0806714019392,400.2348732654634,255,0,0
255.6831838633369,149.10454965747368,400.2137847965584,255,0,0
255.73794488052783,149.11597169616434,400.2024437709092,255,0,0
255.79267223913584,149.12739346249788,400.1911062936448,255,0,0
255.84790377050868,149.12540157953697,400.1902623430167,255,0,0
255.9031338731833,149.12340976833272,400.18941839834,255,0,0
255.95780392092212,149.13456149653496,400.1782952266507,255,0,0
256.01244110860165,149.1457148751402,400.1671721918427,255,0,0
256.0657218973707,149.1863788772157,400.13296788145885,255,0,0
256.1189005295919,149.2270427092686,400.0987694891268,255,0,0
256.1744316490086,149.21568269198974,400.1052585444463,255,0,0
256.22998289157084,149.20432431444968,400.1117447696863,255,0,0
256.2836904728587,149.2305821142765,400.0888180182558,255,0,0
256.33732935526115,149.25684071409074,400.0658942992514,255,0,0
256.3920846365557,149.2602812123034,400.0608130485285,255,0,0
256.4468249588736,149.2637184362826,400.0557332825294,255,0,0
256.5072042432248,149.16300185527322,400.1320734890277,255,0,0
256.56781537853107,149.06227225438028,400.208411405887,255,0,0
256.60330460978844,149.40918131036722,399.9348693311687,255,0,0
256.63796611134006,149.75613125168147,399.6613300425079,255,0,0
255.19077995894557,148.8023464646258,400.4020152469932,255,0,0
255.25918031371583,148.32737356856063,400.7707389631753,255,0,0
255.30776486980017,148.59434354152097,400.5597057689296,255,0,0
255.35571076004345,148.86135491800667,400.3486683201808,255,0,0
255.4099805417486,148.90067438565197,400.31553906886427,255,0,0
255.46415059451363,148.9400048506203,400.2824054023895,255,0,0
255.51737516910097,149.0050125306198,400.2292199352541,255,0,0
255.570439454174,149.07002757363037,400.1760344738965,255,0,0
255.62488414814337,149.09139839913558,400.1569438986563,255,0,0
255.6792720118501,149.11276874096265,400.1378556444805,255,0,0
255.7338966675262,149.12633217771963,400.1248669426961,255,0,0
255.7884830660168,149.13989419796195,400.11188048460815,255,0,0
255.84363255477348,149.13841172497305,400.11064388001085,255,0,0
255.89877962517076,149.13692868588504,400.1094066235655,255,0,0
255.9536775847457,149.14124153916703,400.1036457219083,255,0,0
256.00855919384134,149.1455518756657,400.09788697269335,255,0,0
256.06218459462144,149.17755802625044,400.07050943816944,255,0,0
256.1157277285069,149.20957095913408,400.04312950008045,255,0,0
256.17133863940387,149.19594672808824,400.05137330346975,255,0,0
256.2269754631656,149.18231520714642,400.05962182950464,255,0,0
256.28062338722737,149.20940291510334,400.0360927708556,255,0,0
256.3342009502132,149.23649680738706,400.0125612590468,255,0,0
