X,Y,Z,R,G,B
8.9474,-1.5672,42.5729,255.0000,0.0000,0.0000
8.9906,-1.5605,42.3931,255.0000,0.0000,0.0000
9.0213,-1.5519,42.1583,255.0000,0.0000,0.0000
9.0882,-1.5496,42.0955,255.0000,0.0000,0.0000
9.1581,-1.5478,42.0471,255.0000,0.0000,0.0000
9.2406,-1.5482,42.0576,255.0000,0.0000,0.0000
9.3257,-1.5490,42.0791,255.0000,0.0000,0.0000
9.4027,-1.5484,42.0641,255.0000,0.0000,0.0000
9.4777,-1.5476,42.0403,255.0000,0.0000,0.0000
9.5503,-1.5463,42.0068,255.0000,0.0000,0.0000
9.6230,-1.5451,41.9739,255.0000,0.0000,0.0000
9.6980,-1.5443,41.9516,255.0000,0.0000,0.0000
9.7764,-1.5440,41.9443,255.0000,0.0000,0.0000
9.8592,-1.5444,41.9560,255.0000,0.0000,0.0000
9.9464,-1.5456,41.9860,255.0000,0.0000,0.0000
10.0378,-1.5473,42.0331,255.0000,0.0000,0.0000
10.1390,-1.5505,42.1199,255.0000,0.0000,0.0000
10.2417,-1.5539,42.2118,255.0000,0.0000,0.0000
10.3447,-1.5572,42.3036,255.0000,0.0000,0.0000
10.4468,-1.5604,42.3902,255.0000,0.0000,0.0000
10.5310,-1.5609,42.4033,255.0000,0.0000,0.0000
10.6078,-1.5603,42.3863,255.0000,0.0000,0.0000
10.6792,-1.5589,42.3489,255.0000,0.0000,0.0000
10.7479,-1.5571,42.3007,255.0000,0.0000,0.0000
10.8164,-1.5554,42.2528,255.0000,0.0000,0.0000
10.8852,-1.5537,42.2068,255.0000,0.0000,0.0000
10.9543,-1.5521,42.1627,255.0000,0.0000,0.0000
11.0238,-1.5505,42.1207,255.0000,0.0000,0.0000
11.0931,-1.5490,42.0786,255.0000,0.0000,0.0000
11.1618,-1.5473,42.0346,255.0000,0.0000,0.0000
11.2295,-1.5456,41.9875,255.0000,0.0000,0.0000
11.2958,-1.5437,41.9362,255.0000,0.0000,0.0000
11.3589,-1.5414,41.8737,255.0000,0.0000,0.0000
11.4211,-1.5390,41.8085,255.0000,0.0000,0.0000
11.4821,-1.5365,41.7402,255.0000,0.0000,0.0000
11.5419,-1.5339,41.6684,255.0000,0.0000,0.0000
11.6039,-1.5315,41.6053,255.0000,0.0000,0.0000
11.6660,-1.5293,41.5437,255.0000,0.0000,0.0000
11.7356,-1.5280,41.5093,255.0000,0.0000,0.0000
11.8200,-1.5287,41.5273,255.0000,0.0000,0.0000
11.8743,-1.5255,41.4402,255.0000,0.0000,0.0000
11.9279,-1.5222,41.3518,255.0000,0.0000,0.0000
11.9734,-1.5180,41.2363,255.0000,0.0000,0.0000
12.0029,-1.5118,41.0681,255.0000,0.0000,0.0000
12.1836,-1.5246,41.4155,255.0000,0.0000,0.0000
12.0297,-1.4956,40.6289,255.0000,0.0000,0.0000
8.8950,-1.6388,42.3231,255.0000,0.0000,0.0000
8.9537,-1.6347,42.2190,255.0000,0.0000,0.0000
8.9989,-1.6283,42.0535,255.0000,0.0000,0.0000
9.0753,-1.6276,42.0357,255.0000,0.0000,0.0000
9.1460,-1.6259,41.9919,255.0000,0.0000,0.0000
9.2280,-1.6263,42.0002,255.0000,0.0000,0.0000
9.3124,-1.6270,42.0188,255.0000,0.0000,0.0000
9.3897,-1.6265,42.0058,255.0000,0.0000,0.0000
9.4648,-1.6256,41.9834,255.0000,0.0000,0.0000
9.5380,-1.6244,41.9527,255.0000,0.0000,0.0000
9.6108,-1.6232,41.9207,255.0000,0.0000,0.0000
9.6847,-1.6222,41.8944,255.0000,0.0000,0.0000
9.7644,-1.6221,41.8930,255.0000,0.0000,0.0000
9.8482,-1.6227,41.9090,255.0000,0.0000,0.0000
9.9355,-1.6239,41.9397,255.0000,0.0000,0.0000
10.0257,-1.6256,41.9821,255.0000,0.0000,0.0000
10.1233,-1.6284,42.0549,255.0000,0.0000,0.0000
10.2241,-1.6317,42.1393,255.0000,0.0000,0.0000
10.3277,-1.6353,42.2337,255.0000,0.0000,0.0000
10.4337,-1.6393,42.3367,255.0000,0.0000,0.0000
10.5217,-1.6404,42.3658,255.0000,0.0000,0.0000
10.6015,-1.6402,42.3612,255.0000,0.0000,0.0000
10.6752,-1.6391,42.3328,255.0000,0.0000,0.0000
10.7453,-1.6375,42.2908,255.0000,0.0000,0.0000
10.8146,-1.6358,42.2458,255.0000,0.0000,0.0000
10.8842,-1.6341,42.2031,255.0000,0.0000,0.0000
10.9539,-1.6325,42.1612,255.0000,0.0000,0.0000
11.0233,-1.6309,42.1188,255.0000,0.0000,0.0000
11.0929,-1.6293,42.0778,255.0000,0.0000,0.0000
11.1621,-1.6276,42.0356,255.0000,0.0000,0.0000
11.2302,-1.6259,41.9904,255.0000,0.0000,0.0000
11.2969,-1.6239,41.9401,255.0000,0.0000,0.0000
11.3607,-1.6216,41.8803,255.0000,0.0000,0.0000
11.4222,-1.6190,41.8126,255.0000,0.0000,0.0000
11.4822,-1.6162,41.7405,255.0000,0.0000,0.0000
11.5418,-1.6134,41.6679,255.0000,0.0000,0.0000
11.6057,-1.6112,41.6117,255.0000,0.0000,0.0000
11.6694,-1.6091,41.5556,255.0000,0.0000,0.0000
11.7402,-1.6079,41.5255,255.0000,0.0000,0.0000
11.8257,-1.6087,41.5474,255.0000,0.0000,0.0000
11.8809,-1.6055,41.4630,255.0000,0.0000,0.0000
11.9362,-1.6023,41.3806,255.0000,0.0000,0.0000
11.9814,-1.5978,41.2639,255.0000,0.0000,0.0000
12.0056,-1.5905,41.0772,255.0000,0.0000,0.0000
12.1603,-1.6006,41.3365,255.0000,0.0000,0.0000
11.9865,-1.5675,40.4830,255.0000,0.0000,0.0000
8.9419,-1.7131,42.1635,255.0000,0.0000,0.0000
9.0072,-1.7102,42.0924,255.0000,0.0000,0.0000
9.0866,-1.7100,42.0879,255.0000,0.0000,0.0000
9.1588,-1.7085,42.0503,255.0000,0.0000,0.0000
9.2376,-1.7082,42.0437,255.0000,0.0000,0.0000
9.3177,-1.7082,42.0427,255.0000,0.0000,0.0000
9.3933,-1.7073,42.0219,255.0000,0.0000,0.0000
9.4681,-1.7064,41.9981,255.0000,0.0000,0.0000
9.5406,-1.7050,41.9639,255.0000,0.0000,0.0000
9.6126,-1.7036,41.9288,255.0000,0.0000,0.0000
9.6866,-1.7025,41.9023,255.0000,0.0000,0.0000
9.7656,-1.7023,41.8982,255.0000,0.0000,0.0000
9.8464,-1.7025,41.9016,255.0000,0.0000,0.0000
9.9299,-1.7030,41.9161,255.0000,0.0000,0.0000
10.0169,-1.7042,41.9453,255.0000,0.0000,0.0000
10.1118,-1.7067,42.0070,255.0000,0.0000,0.0000
10.2110,-1.7099,42.0852,255.0000,0.0000,0.0000
10.3146,-1.7138,42.1804,255.0000,0.0000,0.0000
10.4229,-1.7184,42.2929,255.0000,0.0000,0.0000
10.5151,-1.7202,42.3392,255.0000,0.0000,0.0000
10.5988,-1.7207,42.3506,255.0000,0.0000,0.0000
10.6763,-1.7202,42.3374,255.0000,0.0000,0.0000
10.7502,-1.7190,42.3098,255.0000,0.0000,0.0000
10.8200,-1.7173,42.2670,255.0000,0.0000,0.0000
10.8904,-1.7157,42.2271,255.0000,0.0000,0.0000
10.9601,-1.7140,42.1851,255.0000,0.0000,0.0000
11.0279,-1.7120,42.1364,255.0000,0.0000,0.0000
11.0965,-1.7102,42.0913,255.0000,0.0000,0.0000
11.1646,-1.7083,42.0451,255.0000,0.0000,0.0000
11.2322,-1.7064,41.9977,255.0000,0.0000,0.0000
11.2993,-1.7044,41.9490,255.0000,0.0000,0.0000
11.3651,-1.7022,41.8963,255.0000,0.0000,0.0000
11.4278,-1.6997,41.8332,255.0000,0.0000,0.0000
11.4884,-1.6968,41.7630,255.0000,0.0000,0.0000
11.5475,-1.6938,41.6887,255.0000,0.0000,0.0000
11.6114,-1.6915,41.6321,255.0000,0.0000,0.0000
11.6755,-1.6893,41.5775,255.0000,0.0000,0.0000
